ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
Ma13-9-261,Ma13,9,+,,,Szeto2018
Ma13-10-262,Ma13,10,+,,,Szeto2018
Ma13-11-263,Ma13,11,–,,,Szeto2018
Ma13-12-264,Ma13,12,+,,,Szeto2018
Ma13-13-265,Ma13,13,+,,,Szeto2018
Ma13-14-266,Ma13,14,–,,,Szeto2018
Ma13-15-267,Ma13,15,–,,,Szeto2018
Ma13-16-268,Ma13,16,–,,,Szeto2018
Ma13-17-269,Ma13,17,–,,,Szeto2018
Ma13-18-270,Ma13,18,–,,,Szeto2018
Ma13-19-271,Ma13,19,+,,,Szeto2018
Ma13-20-272,Ma13,20,+,,,Szeto2018
Ma13-21-273,Ma13,21,–,,,Szeto2018
Ma14-1-274,Ma14,1,–,,,Szeto2018
Ma14-2-275,Ma14,2,+,,,Szeto2018
Ma14-3-276,Ma14,3,–,,,Szeto2018
Ma14-4-277,Ma14,4,–,,,Szeto2018
Ma14-5-278,Ma14,5,+,,,Szeto2018
Ma14-6-279,Ma14,6,+,,,Szeto2018
Ma14-7-280,Ma14,7,+,,,Szeto2018
Ma14-8-281,Ma14,8,+,,,Szeto2018
Ma14-9-282,Ma14,9,+,,,Szeto2018
Ma14-10-283,Ma14,10,–,,,Szeto2018
Ma14-11-284,Ma14,11,–,,,Szeto2018
Ma14-12-285,Ma14,12,+,,,Szeto2018
Ma14-13-286,Ma14,13,–,,,Szeto2018
Ma14-14-287,Ma14,14,–,,,Szeto2018
Ma14-15-288,Ma14,15,–,,,Szeto2018
Ma14-16-289,Ma14,16,–,,,Szeto2018
Ma14-17-290,Ma14,17,–,,,Szeto2018
Ma14-18-291,Ma14,18,+,,,Szeto2018
Ma14-19-292,Ma14,19,+,,,Szeto2018
Ma14-20-293,Ma14,20,+,,,Szeto2018
Ma14-21-294,Ma14,21,+,,,Szeto2018
Ma15-1-295,Ma15,1,–,,,Szeto2018
Ma15-2-296,Ma15,2,+,,,Szeto2018
Ma15-3-297,Ma15,3,–,,,Szeto2018
Ma15-4-298,Ma15,4,–,,,Szeto2018
Ma15-5-299,Ma15,5,+,,,Szeto2018
Ma15-6-300,Ma15,6,+,,,Szeto2018
Ma15-7-301,Ma15,7,+,,,Szeto2018
Ma15-8-302,Ma15,8,+,,,Szeto2018
Ma15-9-303,Ma15,9,+,,,Szeto2018
Ma15-10-304,Ma15,10,–,,,Szeto2018
Ma15-11-305,Ma15,11,–,,,Szeto2018
Ma15-12-306,Ma15,12,+,,,Szeto2018
Ma15-13-307,Ma15,13,–,,,Szeto2018
Ma15-14-308,Ma15,14,–,,,Szeto2018
Ma15-15-309,Ma15,15,–,,,Szeto2018
Ma15-16-310,Ma15,16,–,,,Szeto2018
Ma15-17-311,Ma15,17,–,,,Szeto2018
Ma15-18-312,Ma15,18,–,,,Szeto2018
Ma15-19-313,Ma15,19,+,,,Szeto2018
Ma15-20-314,Ma15,20,+,,,Szeto2018
Ma15-21-315,Ma15,21,+,,,Szeto2018
Ma16-1-316,Ma16,1,–,,,Szeto2018
Ma16-2-317,Ma16,2,+,,,Szeto2018
Ma16-3-318,Ma16,3,–,,,Szeto2018
Ma16-4-319,Ma16,4,–,,,Szeto2018
Ma16-5-320,Ma16,5,+,,,Szeto2018
Ma16-6-321,Ma16,6,+,,,Szeto2018
Ma16-7-322,Ma16,7,+,,,Szeto2018
Ma16-8-323,Ma16,8,+,,,Szeto2018
Ma16-9-324,Ma16,9,+,,,Szeto2018
Ma16-10-325,Ma16,10,+,,,Szeto2018
Ma16-11-326,Ma16,11,–,,,Szeto2018
Ma16-12-327,Ma16,12,+,,,Szeto2018
Ma16-13-328,Ma16,13,–,,,Szeto2018
Ma16-14-329,Ma16,14,–,,,Szeto2018
Ma16-15-330,Ma16,15,–,,,Szeto2018
Ma16-16-331,Ma16,16,–,,,Szeto2018
Ma16-17-332,Ma16,17,–,,,Szeto2018
Ma16-18-333,Ma16,18,–,,,Szeto2018
Ma16-19-334,Ma16,19,+,,,Szeto2018
Ma16-20-335,Ma16,20,+,,,Szeto2018
Ma16-21-336,Ma16,21,–,,,Szeto2018
Ma17-1-337,Ma17,1,–,,,Szeto2018
Ma17-2-338,Ma17,2,+,,,Szeto2018
Ma17-3-339,Ma17,3,–,,,Szeto2018
Ma17-4-340,Ma17,4,–,,,Szeto2018
Ma17-5-341,Ma17,5,+,,,Szeto2018
